"Predicted_Units_Sold","Predicted_Total_Revenue","Predicted_Total_Profit"
5921.02643827293,6036.25253769779,6036.25253769779
6916.76252272191,7002.63052000476,7002.63052000476
4449.53561188202,4587.60443733704,4587.60443733704
5075.2762379516,5185.85075853731,5185.85075853731
4039.05261607835,4154.67477014514,4154.67477014514
3889.41405808952,4006.72479826762,4006.72479826762
6533.36455868673,6624.14280410554,6624.14280410554
3259.36211449391,3403.21714782233,3403.21714782233
6416.79665084507,6520.53149518181,6520.53149518181
9478.14400902382,9556.14548942153,9556.14548942153
3276.50822130413,3423.96084031655,3423.96084031655
8589.62083570138,8680.72840044603,8680.72840044603
4704.40052202838,4811.35313705195,4811.35313705195
6072.56814715154,6167.09332713915,6167.09332713915
4848.38939774884,4955.90985511597,4955.90985511597
5413.65905296577,5530.88147475265,5530.88147475265
3281.99158881878,3416.84200250839,3416.84200250839
4822.69686132264,4956.27573283979,4956.27573283979
4551.1101282599,4679.9178405763,4679.9178405763
3452.85996105855,3597.75941387553,3597.75941387553
3282.53245356987,3425.42160403208,3425.42160403208
3772.58225690843,3897.00380280575,3897.00380280575
8404.42245562902,8489.2336315696,8489.2336315696
3646.01443839813,3777.71535042685,3777.71535042685
3829.94904182273,3967.61710366395,3967.61710366395
9749.97370271943,9830.02295320738,9830.02295320738
4189.13356246718,4322.40782691854,4322.40782691854
8451.45822275355,8529.5848784678,8529.5848784678
4612.37604602852,4732.11876248702,4732.11876248702
7102.55631612462,7208.62889814964,7208.62889814964
4877.2451193658,5009.70409522579,5009.70409522579
7136.73698088128,7233.09206300972,7233.09206300972
3722.0027059936,3858.42762904959,3858.42762904959
4268.86087039968,4407.82599945033,4407.82599945033
7938.0408678345,8015.11153009497,8015.11153009497
5011.67561687434,5138.43132600315,5138.43132600315
4122.79399156631,4246.32419348514,4246.32419348514
4047.07176967295,4163.4114063684,4163.4114063684
3611.12353938074,3739.2562672758,3739.2562672758
11117.3501123312,11157.408337565,11157.408337565
3299.95350676165,3434.82575189339,3434.82575189339
